"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","PRECISION","DECIMALS_DISPLAYED","DERIVATION_TYPE","OVERLAP","IFS_FLAG","STATUS","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SOURCE"
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2017-Q1","2182049.339127243","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2017-Q2","2154848.82505926","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2017-Q3","2111407.542851756","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2017-Q4","2156279.413922916","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2018-Q1","2176812.520485254","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2018-Q2","2065106.539046246","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2018-Q3","1989407.175542859","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2018-Q4","2102233.736909991","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2019-Q1","2095718.152360059","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2019-Q2","2171323.140882063","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2019-Q3","2157536.107682185","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2019-Q4","2273561.538115356","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
"United States","Liabilities, Transferable Deposits, Included In Broad Money","US dollar","Quarterly","2020-Q1","2716229.364178878","Millions","","","Reported official data","","true","","Public (Unrestricted)","","Public or Unrestricted",""
